Unnamed: 0,Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4,mass,mass_z1,mass_z2
56608,206859,1130041,13,-1,48.6754,-42.2286,-21.2722,-11.555,-0.242007,-2.67496,13,-1,28.1779,19.2962,11.0958,-17.2779,-0.713995,0.521855,-13,1,21.6046,11.1391,4.59909,-17.9309,-1.18803,0.391558,-13,1,5.89739,4.39832,0.165132,-3.92371,-0.802508,0.037527,90.756958,53.15365,4.835106
56611,206859,1130063,-13,1,148.969,-48.4988,-22.3221,-139.073,-1.6855,-2.71024,13,-1,93.3766,2.04141,17.8846,-91.6251,-2.32996,1.45714,-13,1,49.4361,10.4984,10.0123,-47.2595,-1.89692,0.761701,13,-1,54.7673,11.7858,6.42569,-53.0966,-2.08385,0.499154,98.848223,54.578242,13.078658
56612,206859,1130068,13,-1,136.606,-25.2023,74.5956,-111.631,-1.14826,1.89661,-13,1,74.4109,-5.60247,-26.2465,-69.4024,-1.6787,-1.7811,-13,1,19.8546,8.97709,-17.0886,-4.64587,-0.238415,-1.08709,13,-1,15.2696,6.76489,-8.75465,-10.5234,-0.846412,-0.912913,146.138812,85.961017,20.68881
56614,206859,1130091,-13,1,155.375,60.1609,89.4433,111.902,0.908069,0.978687,13,-1,99.1442,50.4934,-69.3123,-49.7572,-0.551799,-0.941203,13,-1,57.949,-8.99976,57.2348,1.12366,0.019393,1.72676,-13,1,62.7619,-2.50826,12.3051,-61.4926,-2.29196,1.77188,350.604648,92.738352,91.020177
56637,206859,1130830,13,-1,68.4707,45.201,-7.88548,-50.8224,-0.955474,-0.172716,-13,1,129.428,-28.2019,23.8209,-124.052,-1.92664,2.44021,13,-1,47.9177,-7.99204,-22.5625,-41.5108,-1.31805,-1.91122,-13,1,47.6878,3.47529,-9.76157,46.5484,2.20768,-1.22877,238.486435,156.69757,52.050491
56647,206859,1130902,-13,1,272.834,0.871536,65.4312,264.87,2.10622,1.55748,13,-1,43.8898,24.6593,-33.1131,-14.8911,-0.353284,-0.930695,13,-1,55.772,23.7757,-18.5013,46.9354,1.22649,-0.66128,-13,1,27.0544,8.52385,-2.12666,-25.5881,-1.79046,-0.244504,287.300266,89.159374,32.427639
56655,206859,1130989,-13,1,57.6795,32.8927,-27.9154,38.2847,0.799486,-0.703727,13,-1,49.2858,-39.6679,2.86604,29.1088,0.678609,3.06947,-13,1,25.6389,8.05995,14.4872,19.5576,1.00292,1.06309,13,-1,15.1861,0.435611,5.85094,14.0065,1.60454,1.49648,107.816421,41.698777,26.125439
56658,206859,1131004,13,-1,28.5165,-5.18908,-18.1283,-21.3921,-0.97334,-1.84958,-13,1,54.499,0.696237,13.6642,-52.7536,-2.05911,1.51989,-13,1,10.8253,5.52066,-4.19364,-8.31333,-1.01541,-0.649634,13,-1,14.9595,3.24012,3.60119,-14.153,-1.79336,0.838127,49.596743,12.922295,5.865279
56661,206859,1131028,-13,1,202.006,33.7286,-26.9994,-197.332,-2.22387,-0.675039,13,-1,102.553,-37.6475,20.9133,-93.0718,-1.51346,2.63453,13,-1,28.0058,-23.1261,10.3929,-11.8946,-0.453442,2.71924,-13,1,37.2668,21.172,-8.32757,-29.5161,-1.07684,-0.374742,163.168291,39.106798,36.79873
56662,206859,1131036,13,-1,319.336,-44.7991,53.9471,311.542,2.19686,2.26382,13,-1,123.521,0.767517,42.6752,115.912,1.72449,1.55281,-13,1,110.54,26.0302,20.9356,105.371,1.86617,0.677347,-13,1,17.2888,-4.16825,8.22828,14.6223,1.24115,2.03969,98.336567,70.832446,13.618628
56663,206859,1131042,13,-1,151.148,48.2711,16.717,142.254,1.74808,0.333388,-13,1,176.052,-43.4906,18.3915,169.602,1.99063,2.74152,13,-1,118.849,29.0242,-30.7112,111.084,1.69404,-0.813631,-13,1,206.044,-37.7807,-1.27355,202.546,2.38034,-3.1079,184.301324,50.476101,24.600221
56666,206859,1178808,-13,1,32.9705,-0.750217,-28.2797,16.9332,0.567595,-1.59732,13,-1,16.1378,15.0819,0.763991,5.68942,0.368365,0.050613,13,-1,20.7298,0.4098,9.47922,-18.4307,-1.41763,1.52759,-13,1,27.0089,-1.34394,7.87404,-25.8005,-1.88876,1.73985,92.895862,55.660785,29.188415
