Unnamed: 0,Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4,mass,mass_z1,mass_z2
2934,1,114782,13,-1,78.9804,-31.3411,-46.3343,55.7563,0.879066,-2.16552,13,-1,31.7305,21.8213,-22.9908,1.4382,0.045357,-0.811491,-13,1,31.0629,24.7262,17.262,7.45204,0.244671,0.609465,-13,1,16.5323,11.5497,-1.11058,11.7761,0.891888,-0.095863,125.208116,85.001636,21.451806
2937,1,114804,-13,1,28.2528,12.7947,11.2657,22.5297,1.09154,0.721936,13,-1,14.823,8.74229,-11.02,4.67376,0.326433,-0.900145,-11,1,57.6861,-33.5316,42.6206,19.6674,0.355154,2.2374,11,-1,39.6159,18.3195,-32.129,14.1965,0.374995,-1.05259,125.783188,89.327677,25.526339
2938,1,114805,-13,1,14.3513,-8.28509,-6.88512,9.48158,0.794049,-2.44822,13,-1,30.4517,8.32609,-1.41108,29.2572,1.95593,-0.167882,-11,1,50.9258,35.4599,-29.2383,21.9353,0.460792,-0.689529,11,-1,44.327,-34.9535,27.2288,-1.31606,-0.029698,2.47979,126.434748,92.971223,20.923363
2941,1,114837,-13,1,15.8241,-0.285711,-8.35756,13.4335,1.25238,-1.60497,13,-1,6.8413,-5.23786,3.89081,2.05397,0.309812,2.5027,-11,1,67.7601,10.3256,-30.1216,-59.8122,-1.38789,-1.24055,11,-1,29.8916,-22.0041,19.6688,4.74004,0.159924,2.41217,111.313758,79.102865,14.946469
2950,1,114889,-13,1,78.8551,59.7734,22.0766,46.453,0.676277,0.353797,13,-1,53.6436,-35.9129,-6.0121,39.3921,0.938064,-2.97572,-13,1,20.6879,-11.3676,7.05461,15.7794,1.00274,2.58617,13,-1,30.0762,9.5162,-7.44917,27.5412,1.56185,-0.664158,127.167324,37.092804,15.644327
2955,1,138048,11,-1,55.6399,-50.5261,23.2994,-0.217795,-0.003914,2.70952,-11,1,48.6564,9.0123,-47.4108,6.1994,0.128108,-1.38295,11,-1,25.3845,-3.3601,-25.1605,0.182492,0.007189,-1.70356,-11,1,11.8199,-2.80054,6.39494,9.53793,1.11819,1.98357,125.158334,27.174903,11.949284
2957,1,138058,-11,1,57.4696,-24.5005,-35.7088,37.7804,0.788219,-2.17215,11,-1,39.9864,-7.01567,14.593,-36.5614,-1.55341,2.01893,11,-1,20.9154,-12.2933,9.20927,14.1958,0.826744,2.49865,-11,1,14.31,0.761519,-13.8226,-3.62373,-0.258863,-1.51576,122.271053,47.63848,31.124493
2966,1,138157,-13,1,22.953,-9.30462,-9.01678,-18.946,-1.17364,-2.3719,13,-1,38.7136,7.54354,-8.04922,-37.1085,-1.92763,-0.817817,11,-1,65.8358,55.6125,10.9393,-33.4952,-0.561067,0.194226,-11,1,50.9953,-35.8302,-12.8634,-33.9301,-0.802366,-2.79691,126.209269,93.318237,19.139301
2967,1,138158,-11,1,102.091,51.4569,-0.161842,-88.1744,-1.30767,-0.003145,11,-1,31.4298,-28.1006,-2.25137,-13.8969,-0.474908,-3.06165,11,-1,72.4284,27.6762,2.62502,-66.8806,-1.61164,0.094564,-11,1,19.4202,2.45685,-16.8717,-9.29803,-0.521401,-1.42619,126.014548,32.006624,12.1183
2970,1,138168,-13,1,41.9805,-14.19,-13.4803,37.1386,1.39684,-2.38184,13,-1,41.4229,-3.54447,16.292,37.9191,1.55997,1.78502,11,-1,188.294,-50.0185,-53.9464,173.327,1.5924,-2.31843,-11,1,77.8249,15.5265,21.4562,73.1797,1.74074,0.944383,123.100598,88.365178,31.623594
2973,1,138185,-13,1,107.847,-41.9752,-12.6847,98.5299,1.54893,-2.84812,13,-1,34.4491,23.6894,16.8694,18.4652,0.59855,0.618805,13,-1,26.4319,-6.525,22.6475,11.9645,0.488038,1.85131,-13,1,43.7566,13.4524,1.95859,41.5911,1.83709,0.144578,122.899313,58.054145,27.845392
2975,1,138219,13,-1,29.008,-25.9627,7.37043,-10.6335,-0.38446,2.86498,13,-1,33.4004,11.6226,-18.2135,25.4707,1.00238,-1.00281,-13,1,77.8627,-15.2956,9.5999,75.7395,2.14074,2.58111,-13,1,32.1862,14.352,-5.59508,28.2605,1.36713,-0.371724,123.850261,72.057726,13.15416
2976,1,138220,13,-1,64.7603,41.5274,32.8698,-37.2685,-0.655685,0.66955,-13,1,35.4245,-25.8188,-24.0344,3.25883,0.092255,-2.39197,-13,1,14.584,12.8822,-0.592979,6.81009,0.506188,-0.045998,13,-1,19.593,-9.88479,2.68355,-16.7022,-1.26512,2.8765,125.125678,36.954099,33.400539
2980,1,138258,13,-1,24.0452,-17.6908,12.5556,-10.3707,-0.461498,2.52437,-13,1,19.0637,13.0884,12.9516,4.93603,0.264957,0.780144,11,-1,57.2976,30.568,-40.0654,-27.265,-0.517603,-0.919057,-11,1,46.4398,-16.9451,5.68502,-42.8625,-1.60872,2.8179,125.276061,66.902825,34.015324
2982,1,138271,13,-1,83.2071,-12.8049,44.1414,69.3612,1.19982,1.85313,-13,1,144.143,8.34063,-40.7473,138.012,1.91454,-1.36889,11,-1,24.7977,-12.8924,-13.7531,16.1111,0.774777,-2.3239,-11,1,16.3138,6.34788,6.76629,13.4188,1.16462,0.817293,125.75552,93.021365,26.953556
2983,1,138275,-13,1,69.0063,32.6967,-11.1323,-59.74,-1.31573,-0.328161,13,-1,32.7392,-29.2449,0.626136,14.7032,0.483577,3.12019,-13,1,16.0819,9.64884,4.18899,12.1643,0.98777,0.40959,13,-1,19.4116,-6.56593,1.79556,-18.1786,-1.70878,2.87465,127.142365,35.418163,31.247799
2984,1,138288,13,-1,86.1115,-19.7496,34.4179,-76.4235,-1.41,2.09174,-13,1,44.4358,-38.4365,-5.75218,-21.5425,-0.529243,-2.99304,13,-1,30.6112,9.30201,24.0887,-16.4391,-0.599973,1.20228,-13,1,30.6183,19.0321,-6.06586,-23.2046,-0.991193,-0.308538,121.535791,55.808764,38.321689
2990,1,138342,11,-1,136.204,-45.6358,-11.1376,-127.847,-1.72652,-2.90222,-11,1,76.0696,33.9354,25.6344,-63.0702,-1.18529,0.646942,-11,1,29.6113,-17.271,-6.00138,-23.2922,-1.06245,-2.80716,11,-1,14.6538,12.0528,-3.31494,-7.64681,-0.578855,-0.268399,127.588598,24.834794,20.016139
2991,1,138344,13,-1,61.8043,9.13387,46.8336,-39.2804,-0.750691,1.37819,-13,1,45.3283,-10.8978,-37.192,-23.5082,-0.574453,-1.85583,-13,1,15.31,9.35789,-11.2691,-4.45219,-0.29945,-0.877791,13,-1,10.7757,-4.17115,6.40814,7.59223,0.876384,2.14781,118.973084,37.475389,23.331748
2997,1,138371,-13,1,25.974,-11.1918,22.3578,7.03639,0.277838,2.03491,13,-1,5.25406,5.04825,-0.278522,1.42532,0.278305,-0.055116,11,-1,77.7033,45.2721,5.23141,62.9355,1.12687,0.115045,-11,1,46.0411,-32.8423,-19.9598,25.353,0.619327,-2.5955,120.674387,84.536335,19.45131
3004,1,138422,-13,1,57.0441,49.8937,7.43217,26.6346,0.506116,0.147873,13,-1,36.5032,-36.4994,0.510271,0.099854,0.002736,3.12761,-13,1,18.7384,-15.2212,10.5518,2.84448,0.152985,2.53542,13,-1,16.5915,11.9406,-11.2398,2.52147,0.153163,-0.755175,124.193329,27.095137,15.670845
3006,1,138427,13,-1,59.7127,-20.1582,-46.2184,31.9859,0.598055,-1.98207,-13,1,38.6194,21.7169,31.7414,3.50886,0.091109,0.970765,11,-1,18.0232,2.1757,15.8737,8.25383,0.494723,1.43458,-11,1,23.0645,4.97843,-12.425,18.7832,1.13988,-1.1897,123.814858,90.539002,29.901889
3008,1,138450,13,-1,24.3796,-23.2055,-0.506639,7.45693,0.315983,-3.11976,-13,1,11.3903,-10.3912,2.72504,3.78469,0.345397,2.88512,11,-1,64.4888,-25.6104,-41.8005,-41.9002,-0.774829,-2.12049,-11,1,34.3384,22.3363,6.62855,25.2246,0.938622,0.288483,125.065818,90.779701,4.410462
3014,1,138495,-13,1,24.545,20.2529,-13.3246,-3.8364,-0.157594,-0.581916,13,-1,29.0445,-14.3518,2.7598,25.0994,1.30961,2.95162,-11,1,52.757,-46.0944,11.6857,22.8483,0.46369,2.89331,11,-1,34.6208,26.0248,-3.50555,22.5616,0.778205,-0.133894,123.369652,71.436106,47.67894
3031,1,138619,11,-1,159.523,-45.337,11.4471,-152.515,-1.8981,2.89427,-11,1,103.746,35.7047,8.03798,-97.0762,-1.70242,0.221432,11,-1,66.5791,-10.3225,-22.7584,-61.7112,-1.63582,-1.99662,-11,1,106.946,9.33359,-20.2011,-104.605,-2.25199,-1.13798,130.943736,44.759015,39.235486
3035,1,138646,13,-1,34.8898,25.7515,21.8515,-8.75577,-0.256433,0.703653,-13,1,33.6832,21.0994,-26.0981,-2.872,-0.085473,-0.890914,-11,1,91.2409,43.4794,23.2411,-76.7743,-1.22611,0.49089,11,-1,26.423,20.1783,-16.136,5.53496,0.212623,-0.674541,124.887563,68.315186,48.51815
3041,1,138689,13,-1,372.562,-16.7743,71.8571,365.181,2.30238,1.80013,-13,1,145.59,0.219166,44.7967,138.526,1.84724,1.5659,-13,1,134.916,-33.0406,-19.4143,129.359,1.93096,-2.61035,13,-1,55.7413,-10.3225,11.4831,53.5599,1.9571,2.30302,124.678381,87.93371,19.178272
3054,1,138804,-13,1,125.749,-30.1409,-28.0225,-118.824,-1.78217,-2.3926,-13,1,30.0273,5.51063,25.174,-15.412,-0.56716,1.35529,13,-1,17.3305,8.53835,14.9182,2.2089,0.128157,1.05096,13,-1,32.4046,-5.05123,-12.6158,-29.4172,-1.51496,-1.95164,125.392753,16.238258,12.130555
3063,1,138866,-11,1,39.3645,28.7202,-21.4748,16.2342,0.438508,-0.642044,11,-1,52.5963,1.4751,30.4556,42.8562,1.14119,1.5224,11,-1,122.093,-12.4015,23.877,119.092,2.19323,2.04984,-11,1,21.5344,9.76452,-9.05745,16.9217,1.06036,-0.747849,126.926248,34.895765,14.002512
3069,1,138921,-13,1,48.7438,9.28455,47.7806,-2.60026,-0.053396,1.37887,13,-1,56.735,17.1164,-29.5203,45.3258,1.09558,-1.04535,13,-1,14.7864,10.3974,-0.071276,10.5125,0.889163,-0.006855,-13,1,38.0794,0.389454,-8.49589,37.1174,2.17947,-1.52499,124.22567,68.629151,19.097759
3078,1,138977,-13,1,22.6556,-1.86708,-22.5757,-0.344877,-0.015224,-1.65331,13,-1,11.4502,-3.14204,9.25871,5.95811,0.576852,1.89796,11,-1,64.7874,-30.4204,35.5569,44.8075,0.851031,2.2785,-11,1,37.9213,33.7492,-17.1955,1.8266,0.048205,-0.471224,126.333503,89.588592,30.483827
3080,1,138985,13,-1,107.003,-22.6561,43.029,-95.3146,-1.42562,2.05544,-13,1,192.808,25.936,-22.6496,-189.708,-2.40774,-0.717859,-13,1,20.1708,-13.351,-5.60762,-14.0413,-0.859748,-2.74395,13,-1,48.0654,9.14842,-3.79547,-47.0338,-2.26193,-0.393266,124.714846,38.956278,6.561761
3081,1,138999,-11,1,32.3084,10.122,30.6592,-1.1794,-0.036521,1.25192,11,-1,76.8259,15.6855,-25.1471,-70.8788,-1.60616,-1.0131,-11,1,20.7429,-20.6245,1.59269,1.5371,0.074239,3.06452,11,-1,8.02509,-4.23032,-5.54637,3.96789,0.541915,-2.22239,120.765788,64.282155,30.881202
3086,1,139041,-13,1,36.5924,30.5824,6.28155,19.0854,0.578494,0.20258,13,-1,48.584,16.1261,-19.23,-41.5999,-1.27911,-0.872964,-13,1,27.8496,-11.208,-13.2804,21.7624,1.04903,-2.27177,13,-1,17.9445,6.69578,13.8659,-9.21393,-0.567441,1.12093,122.965774,66.086723,32.882292
