Unnamed: 0,Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4,mass,mass_z1,mass_z2
106210,200519,651619,-11,1,191.239,163.169,-81.3488,-57.7122,-0.311477,-0.462492,11,-1,204.012,-101.841,34.7207,-173.332,-1.25476,2.81302,-11,1,292.5,-83.1074,1.46692,-280.441,-1.93049,3.12394,11,-1,55.1351,45.2684,28.7321,-12.8502,-0.237431,0.565548,525.481206,97.501169,71.405715
106213,200519,651682,-11,1,112.214,-90.0687,-7.98727,-66.4524,-0.681034,-3.05314,-11,1,58.5413,50.1535,-29.7603,-5.10153,-0.087366,-0.535541,11,-1,56.0047,-0.885738,36.3352,-42.6086,-0.998122,1.59517,11,-1,51.8613,18.6701,4.45014,-48.179,-1.65102,0.23399,225.335426,85.597397,63.02878
106228,200519,653923,-11,1,133.038,49.6967,57.3397,-109.277,-1.1611,0.856683,-11,1,54.7968,-46.1926,-24.3566,-16.6041,-0.312833,-2.65636,11,-1,56.4606,19.4577,-33.1909,-41.3227,-0.932776,-1.04056,11,-1,153.107,-28.6753,-8.946,-150.131,-2.31204,-2.83919,238.978778,108.639777,70.683982
106237,200519,654092,11,-1,60.714,-47.4646,17.9989,-33.3068,-0.616354,2.77914,-11,1,62.2447,26.2222,-1.96669,-56.4174,-1.50687,-0.074861,-11,1,15.7366,3.18332,-13.7701,6.9202,0.471925,-1.34361,11,-1,10.0257,5.75913,-2.67324,-7.75896,-1.02999,-0.434578,117.323605,56.300329,7.750556
106246,200519,654163,-11,1,83.0072,24.9109,74.7124,-26.224,-0.327114,1.24896,11,-1,277.418,37.7033,-53.4326,-269.6,-2.12403,-0.956307,11,-1,61.3865,-37.1668,4.30779,-48.6659,-1.07887,3.0262,-11,1,10.5268,-4.80976,-8.67409,3.52714,0.348519,-2.07709,264.478725,105.269993,58.892678
106256,200519,656452,-11,1,40.8297,27.136,30.383,2.75143,0.06749,0.841789,11,-1,27.5999,-13.4775,-23.9125,-2.88134,-0.104779,-2.08404,-11,1,21.2567,-4.87979,-20.6079,-1.82946,-0.086279,-1.80331,11,-1,9.00383,5.97937,-5.35255,4.08244,0.488986,-0.73014,95.590665,26.711941,6.761628
106257,200519,656470,11,-1,82.0743,44.8961,53.5448,-43.0522,-0.582598,0.873029,-11,1,25.3993,4.27716,19.4281,-15.7916,-0.727831,1.3541,11,-1,20.6506,11.8917,10.275,-13.3961,-0.77306,0.712594,-11,1,46.6831,-5.80791,-5.47293,-45.9959,-2.45217,-2.38588,86.461553,34.36695,8.256719
106258,200519,656485,-11,1,89.6826,-44.2827,18.6266,75.7301,1.2364,2.74343,11,-1,59.3146,15.604,-42.8895,37.8845,0.755982,-1.22186,11,-1,52.8442,-43.1137,3.13696,30.3953,0.655241,3.06896,-11,1,44.7559,27.4211,24.8195,-25.2026,-0.637378,0.735638,211.453539,92.152885,30.651344
106273,200519,671122,-11,1,91.239,37.7316,-34.6281,75.5101,1.1805,-0.742535,11,-1,34.0275,7.06707,33.2147,-2.1703,-0.063867,1.36115,-11,1,28.6049,-24.459,-11.7657,9.03154,0.326901,-2.69323,11,-1,23.8759,-13.0353,16.4384,-11.3983,-0.519608,2.24124,162.766561,69.905113,25.838861
106277,200519,671165,-11,1,298.094,-16.3322,-84.3358,-285.449,-1.9159,-1.76209,11,-1,148.049,65.7464,53.0028,-121.601,-1.16096,0.678493,-11,1,102.85,-26.3364,59.4895,-79.6584,-1.03151,1.98757,11,-1,10.9871,-9.26109,-5.20249,2.8077,0.261336,-2.62977,280.535269,158.160455,75.532596
